carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
SmartEnvios,sme_sedex,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
"Noite, entrega até as 22h",week-days|10,"Noite, entrega até as 22h - Outros",,Outros,2025-08-07 16:10:53
Dropi Fretes,4364877,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,DKT,Frenet - Outros,,Outros,2025-08-07 16:10:53
Fast Mail,fastmail_23,Fast Mail - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-correios-sedex,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,931,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,1072,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Frenet,JADP_02,Frenet - Outros,,Outros,2025-08-07 16:10:53
Entrega Própria,Entrega Própria,Entrega Própria - Outros,,Outros,2025-08-07 16:10:53
Período Integral (07:00 ás 22h) | G1=data-especial,week-days|49,Período Integral (07:00 ás 22h) | G1=data-especial - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,691,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,31,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
skydropx,redpack.ecoexpress,skydropx - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;94;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Frenet,CDF_EC,Frenet - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4584615,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps),3766001_manha,Entrega Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Bluemail,bluemail-urgent,Bluemail - Outros,,Outros,2025-08-07 16:10:53
Intelipost,CTL,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Shippy,446|2262,Shippy - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,899,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps),3765926_matutino,Entrega Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Paquetexpress - ground_od,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,5618241,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Shippy,418|2202,Shippy - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3863282,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Projetos,FreteFixo_Sudeste,Projetos - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Aliança Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
PinPoint,OCADOMICILIO,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps),3765926_vapt-vupt,Entrega Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3116832,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
ModdingEnvios,MODDINGFLEX_21,ModdingEnvios - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;77;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Shippy,338|2020,Shippy - Outros,,Outros,2025-08-07 16:10:53
skydropx,AMPM STANDARD,skydropx - Outros,,Outros,2025-08-07 16:10:53
Flippy,Flippy_12,Flippy - Outros,,Outros,2025-08-07 16:10:53
Frenet,CARR_4,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,984,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
ModdingEnvios,MODDINGFLEX_20,ModdingEnvios - Outros,,Outros,2025-08-07 16:10:53
Vima Logistica - Wisper,Flex,Vima Logistica - Wisper - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,896,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
BusPack,Terminal,BusPack - Outros,,Outros,2025-08-07 16:10:53
Frenet,FR_IMI_STD,Frenet - Outros,,Outros,2025-08-07 16:10:53
Mis entregas,MisEntregas_9,Mis entregas - Outros,,Outros,2025-08-07 16:10:53
Envia Brasil,pac_enviabrasil,Envia Brasil - Outros,,Outros,2025-08-07 16:10:53
Bluemail,bluemail-same_day,Bluemail - Outros,,Outros,2025-08-07 16:10:53
Shippy,430|2233,Shippy - Outros,,Outros,2025-08-07 16:10:53
Shippy,445|2259,Shippy - Outros,,Outros,2025-08-07 16:10:53
Montink Fretes,DN1,Montink Fretes - Outros,,Outros,2025-08-07 16:10:53
"Tarde, entrega até as 18h",sunday|9,"Tarde, entrega até as 18h - Outros",,Outros,2025-08-07 16:10:53
Intelipost,Movvi Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;100;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
EnvíosPerros,DHL-Express,EnvíosPerros - Outros,,Outros,2025-08-07 16:10:53
Enviamelo,Enviamelo3,Enviamelo - Outros,,Outros,2025-08-07 16:10:53
Entraga Agendada (Huapps),3853896_manha,Entraga Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,1409435,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
skydropx,JTEXPRESS STANDARD,skydropx - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Dpd - next_day,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Shippy,301|1831,Shippy - Outros,,Outros,2025-08-07 16:10:53
Shippy,421|2211,Shippy - Outros,,Outros,2025-08-07 16:10:53
Frenet,CLK_8,Frenet - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,1421228,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Frenet,APL,Frenet - Outros,,Outros,2025-08-07 16:10:53
"Manhã, entrega até as 13h=data-especial	",week-days|50,"Manhã, entrega até as 13h=data-especial	 - Outros",,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps),3765926_especial,Entrega Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3313779,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,697108,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;85;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,599410,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
WeShip,fedex_express_saver,WeShip - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Retirada na Loja,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps. saturday),3158546_matutino_saturday,Entrega Agendada (Huapps. saturday) - Outros,,Outros,2025-08-07 16:10:53
Envios Flex - JUSTO DARACT 158,Flex,Envios Flex - JUSTO DARACT 158 - Outros,,Outros,2025-08-07 16:10:53
Frenet,TWT,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,1070,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
"Matutino, entrega até as 10h",saturday|7,"Matutino, entrega até as 10h - Outros",,Outros,2025-08-07 16:10:53
skydropx,Precio de respaldo Nacional respaldo,skydropx - Outros,,Outros,2025-08-07 16:10:53
Promocional,protocolo-frete-gratis,Promocional - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Dhl - ground_od,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4364879,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
JADLOG,192|1048,JADLOG - Outros,,Outros,2025-08-07 16:10:53
Envios Amba Flex - Basset,Flex,Envios Amba Flex - Basset - Outros,,Outros,2025-08-07 16:10:53
PinPoint,CASUCURSAL,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;10;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3846243,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
skydropx,paquetexpress.express_next_day,skydropx - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,640,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Especial 1 (até as 18h) | G1=data-especial,sunday|47,Especial 1 (até as 18h) | G1=data-especial - Outros,,Outros,2025-08-07 16:10:53
EnvíosPerros,Estafeta-Express,EnvíosPerros - Outros,,Outros,2025-08-07 16:10:53
Andreani,sucursal,Andreani - Sucursal,,Sucursal,2025-08-07 16:10:53
Dropi Fretes,1409543,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Kangu,kangu_E_102028798,Kangu - Carvalima,,Carvalima,2025-08-07 16:10:53
Dropi Fretes,3325453,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
"Tarde, entrega até as 18h | Abrangência 2",saturday|43,"Tarde, entrega até as 18h | Abrangência 2 - Outros",,Outros,2025-08-07 16:10:53
Eship Entregas,eship;50;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,170476,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,731274,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
MeusCorreios,PAC,MeusCorreios - Outros,,Outros,2025-08-07 16:10:53
EFLET,Correoe-flet_11,EFLET - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4040442,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
App Correo Flash,CFS,App Correo Flash - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;90;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Azul Cargo Express,EXPRESSO,Azul Cargo Express - Outros,,Outros,2025-08-07 16:10:53
Frenet,03662,Frenet - Correios - SEDEX HOJE,Correios,SEDEX HOJE,2025-08-07 16:10:53
Frenet,FMVIP,Frenet - Outros,,Outros,2025-08-07 16:10:53
CRAB,CRAB_2,CRAB - Outros,,Outros,2025-08-07 16:10:53
Reserva Ink Entregas,4186,Reserva Ink Entregas - Outros,,Outros,2025-08-07 16:10:53
Frenet,4,Frenet - Outros,,Outros,2025-08-07 16:10:53
ModdingEnvios,MODDINGFLEX_2,ModdingEnvios - Outros,,Outros,2025-08-07 16:10:53
skydropx,REDPACK ECOEXPRESS,skydropx - Outros,,Outros,2025-08-07 16:10:53
Frenet,TNTVIP2,Frenet - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,466517,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
EFLET,Correoe-flet_9,EFLET - Outros,,Outros,2025-08-07 16:10:53
Flixlog,Jtexpress,Flixlog - Outros,,Outros,2025-08-07 16:10:53
Flex-Lightdata,Flex,Flex-Lightdata - Outros,,Outros,2025-08-07 16:10:53
FRETE PERSONALIZADO,fretepersonalizado5,FRETE PERSONALIZADO - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,235,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3430514,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps. sunday),3158547_tarde_sunday,Entrega Agendada (Huapps. sunday) - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;63;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Interbook,interbook2,Interbook - Outros,,Outros,2025-08-07 16:10:53
Smartpost,SMARTPOST_12,Smartpost - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3994142,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,JADP_03,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,RDM_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,2794297,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Envios Flex - KENDRA,Normal,Envios Flex - KENDRA - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;101;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,1409434,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,2752340,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
CRAB,CRAB_27,CRAB - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4343336,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Intelipost,R3 Transportes,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,76938,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
PLATINUM LOG,2000,PLATINUM LOG - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Fedex - int_express,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Envios Amba Flex - Kiwano SRL,Flex,Envios Amba Flex - Kiwano SRL - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,523,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
"Manhã, entrega até as 13h | Abrangência 2",sunday|42,"Manhã, entrega até as 13h | Abrangência 2 - Outros",,Outros,2025-08-07 16:10:53
Fixy Logística,FIXYLOGISTICA_35,Fixy Logística - Outros,,Outros,2025-08-07 16:10:53
Projetos,FreteGratis,Projetos - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,855,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Envío Nube,ne-envia-noventa9Minutos-next-day,Envío Nube - 99Minutos - Nacional Estándar,99Minutos,Nacional Estándar,2025-08-07 16:10:53
Shippy,430|2232,Shippy - Outros,,Outros,2025-08-07 16:10:53
Intelipost,NR Express Interior,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,2965409,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
DPD,dpd_b2,DPD - Outros,,Outros,2025-08-07 16:10:53
Enviamelo,Enviamelo2,Enviamelo - Outros,,Outros,2025-08-07 16:10:53
Frenet,03050,Frenet - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Zipnova,zippin_pickup,Zipnova - Outros,,Outros,2025-08-07 16:10:53
Envio Andesmar Normal,Cargas1,Envio Andesmar Normal - Outros,,Outros,2025-08-07 16:10:53
BNZ EXPRESS S.R.L.,SD,BNZ EXPRESS S.R.L. - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3921371,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,933,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;36;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,390855,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,3477275,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,76684,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Shippy,385|2122,Shippy - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,64409,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4314506,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Shippy,463|2324,Shippy - Outros,,Outros,2025-08-07 16:10:53
Frenet,40096,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,SLT,Frenet - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,166766,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Flixlog,Aceville,Flixlog - Outros,,Outros,2025-08-07 16:10:53
Shippy,445|2260,Shippy - Outros,,Outros,2025-08-07 16:10:53
Frenet,OWN4,Frenet - Logística própria,,Logística própria,2025-08-07 16:10:53
API Sisfrete Cotação,3754,API Sisfrete Cotação - Outros,,Outros,2025-08-07 16:10:53
Entraga Agendada (Huapps),3853896_tarde,Entraga Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
PinPoint,CABA_PINFLEX,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Conectenvios,conectenvios-jadlog-package,Conectenvios - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,171095,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,4510,Frenet - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Jadlog - economico,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Shippy,417|2199,Shippy - Outros,,Outros,2025-08-07 16:10:53
EFLET,Correoe-flet_33,EFLET - Outros,,Outros,2025-08-07 16:10:53
TRANSPORTE TERCEIRIZADO,DOMINALOG EXPRESS,TRANSPORTE TERCEIRIZADO - Outros,,Outros,2025-08-07 16:10:53
CRAB,CRAB_7,CRAB - Outros,,Outros,2025-08-07 16:10:53
Upnext Shipping,Rod_Aereo,Upnext Shipping - Outros,,Outros,2025-08-07 16:10:53
skydropx,PAQUETEXPRESS EXPRESS_NEXT_DAY,skydropx - Outros,,Outros,2025-08-07 16:10:53
Frenet,4162,Frenet - Outros,,Outros,2025-08-07 16:10:53
Projetos,FreteFixo_Sul,Projetos - Outros,,Outros,2025-08-07 16:10:53
Day-Envio,day_pac,Day-Envio - Outros,,Outros,2025-08-07 16:10:53
Shippy,308|1951,Shippy - Outros,,Outros,2025-08-07 16:10:53
Onlog Express,134,Onlog Express - Outros,,Outros,2025-08-07 16:10:53
Frenet,SLT_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-dialogo,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
JadLog,4,JadLog - Outros,,Outros,2025-08-07 16:10:53
"Manhã, entrega até as 13h | Abrangência 2",saturday|42,"Manhã, entrega até as 13h | Abrangência 2 - Outros",,Outros,2025-08-07 16:10:53
Onlog Express,90,Onlog Express - Outros,,Outros,2025-08-07 16:10:53
Intelipost,ALFA SP,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps),3766001_tarde,Entrega Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps. saturday),3158546_noite_saturday,Entrega Agendada (Huapps. saturday) - Outros,,Outros,2025-08-07 16:10:53
Fasttrack,FastTrack_11,Fasttrack - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3554599,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,PTJ_EXP,Frenet - Outros,,Outros,2025-08-07 16:10:53
Flixlog,Bg_proprio,Flixlog - Outros,,Outros,2025-08-07 16:10:53
PinPoint,ANDREANISUCURSAL,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Lixlog,lix_conquest_normal,Lixlog - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,1071,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Frenet,ISP_1_8465,Frenet - Outros,,Outros,2025-08-07 16:10:53
Enviame,TAKE-sameday,Enviame - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,684093,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Ups - saver,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Frenet,MANN_R,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,574,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,492407,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,601,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Projetos,MelhorEnvio_2,Projetos - Outros,,Outros,2025-08-07 16:10:53
Frenet,AZUL_01,Frenet - Outros,,Outros,2025-08-07 16:10:53
"Entrega Expressa, em até 3 horas",saturday|12,"Entrega Expressa, em até 3 horas - Outros",,Outros,2025-08-07 16:10:53
SmartEnvios,918,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
JadLog,5,JadLog - Outros,,Outros,2025-08-07 16:10:53
ModdingEnvios,MODDINGFLEX_31,ModdingEnvios - Outros,,Outros,2025-08-07 16:10:53
TRANSPORTE TERCEIRIZADO,THM TRANSPORTADORA E LOGISTICA,TRANSPORTE TERCEIRIZADO - Outros,,Outros,2025-08-07 16:10:53
Enviame,TAKE-nextday,Enviame - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,130494,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Shippy,429|2228,Shippy - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3826470,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Fast Mail,fastmail_51,Fast Mail - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4013266,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,Azul_WS_2,Frenet - Outros,,Outros,2025-08-07 16:10:53
"Matutino, entrega até as 10h",sunday|7,"Matutino, entrega até as 10h - Outros",,Outros,2025-08-07 16:10:53
Enviame,CCH-den,Enviame - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3724283,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,634,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Uber - express,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Atual Cargas Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Frenet,TLC,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,856,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,219,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Teiker,19,Teiker - Outros,,Outros,2025-08-07 16:10:53
Flixlog,Pajucara,Flixlog - Outros,,Outros,2025-08-07 16:10:53
PinPoint,GRAN_BUENOS_AIRES_2_PINFLEX,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3597416,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,120569,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Alfa Transportes,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Picklog,14,Picklog - Outros,,Outros,2025-08-07 16:10:53
"Período Integral, entrega até as 22h | Grupo 2",week-days|45,"Período Integral, entrega até as 22h | Grupo 2 - Outros",,Outros,2025-08-07 16:10:53
Mienvio MX,Estafeta (estandar),Mienvio MX - Outros,,Outros,2025-08-07 16:10:53
Shippy,462|2319,Shippy - Outros,,Outros,2025-08-07 16:10:53
Intelipost,MIRA Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Mann Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,54302,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Paquery,standard,Paquery - Outros,,Outros,2025-08-07 16:10:53
ASAP Log,asaplog,ASAP Log - Outros,,Outros,2025-08-07 16:10:53
Envios Amba Flex - DYG Store,Flex,Envios Amba Flex - DYG Store - Outros,,Outros,2025-08-07 16:10:53
Shippy,342|2030,Shippy - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,638,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Sendex - ground,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Enviamelo,Enviamelo6,Enviamelo - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,71,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
"Tarde, entrega até as 18h | Abrangência 2",sunday|43,"Tarde, entrega até as 18h | Abrangência 2 - Outros",,Outros,2025-08-07 16:10:53
CRAB,CRAB_4,CRAB - Outros,,Outros,2025-08-07 16:10:53
Fixy Logística,FIXYLOGISTICA_15,Fixy Logística - Outros,,Outros,2025-08-07 16:10:53
Marrie for Babies Shipping Company,1,Marrie for Babies Shipping Company - Outros,,Outros,2025-08-07 16:10:53
CRAB,CRAB_25,CRAB - Outros,,Outros,2025-08-07 16:10:53
Frenet,0,Frenet - Outros,,Outros,2025-08-07 16:10:53
Logística Mercosur,LOGISTICAMERCOSUR_5,Logística Mercosur - Outros,,Outros,2025-08-07 16:10:53
Envío Nube,ne-envia-noventa9Minutos-local-next-day,Envío Nube - 99Minutos - Local Día Siguiente,99Minutos,Local Día Siguiente,2025-08-07 16:10:53
SmartEnvios,1098,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Boxfly,express,Boxfly - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Paquetexpress - ground_do,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
CoShowroom,coshowroom,CoShowroom - Outros,,Outros,2025-08-07 16:10:53
"Manhã, entrega até as 13h=data-especial	",sunday|50,"Manhã, entrega até as 13h=data-especial	 - Outros",,Outros,2025-08-07 16:10:53
Frenet,ISP_1_5188,Frenet - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,1409433,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Shippy,452|2284,Shippy - Outros,,Outros,2025-08-07 16:10:53
Período Integral (07:00 ás 22h) | G1=data-especial,saturday|49,Período Integral (07:00 ás 22h) | G1=data-especial - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,131476,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,4014,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,546,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Shippy,456|2303,Shippy - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4583712,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,313379,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,ISP_1_8500,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,SMC_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,507,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,301240,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
SHIPSMART,shipsmart,SHIPSMART - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,140,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Frenet,NTV_WS,Frenet - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,1212676,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,754626,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,4669,Frenet - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;1;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
HUB Omie,195,HUB Omie - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,2645311,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,2575046,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4172009,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Flixlog,Saomiguel,Flixlog - Outros,,Outros,2025-08-07 16:10:53
PinPoint,GRAN_BUENOS_AIRES_3_PINDAY,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,1305770,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Klozer,standard,Klozer - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Dhl - ground_do,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Logística Mercosur,LOGISTICAMERCOSUR_14,Logística Mercosur - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,160686,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Frenet,BLG_2,Frenet - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3112574,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
CRAB,CRAB_26,CRAB - Outros,,Outros,2025-08-07 16:10:53
Frenet,LLM_3,Frenet - Outros,,Outros,2025-08-07 16:10:53
WeShip,estafeta_dia_sig,WeShip - Outros,,Outros,2025-08-07 16:10:53
Frenet,JLG_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,FED_R,Frenet - Outros,,Outros,2025-08-07 16:10:53
